name,link,lyrics,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
This Is Why We Can't Have Nice Things,https://www.youtube.com/watch?v=6Z3QJ4L1Bg0,"It was so nice throwing big parties
Jump into the pool from the balcony
Everyone swimming in a champagne sea
And there are no rules when you show up here
Bass beat rattling the chandelier
Feeling so Gatsby for that whole year

So why'd you have to rain on my parade?
I'm shaking my head and locking the gates

This is why we can't have nice things, darling
Because you break them
I had to take them away
This is why we can't have nice things, honey (Oh)
Did you think I wouldn't hear all the things you said about me?
This is why we can't have nice things

It was so nice being friends again
There I was, giving you a second chance
But you stabbed me in the back while shaking my hand
And therein lies the issue
Friends don't try to trick you
Get you on the phone and mind-twist you
And so I took an axe to a mended fence

But I'm not the only friend you've lost lately (Mm-mm)
If only you weren't so shady

This is why we can't have nice things, darling (Yeah)
Because you break them
I had to take them away
This is why we can't have nice (Nice things) things (Baby), honey
Did you think I wouldn't hear all the things you said about me?
This is why we can't have

Here's a toast to my real friends
They don't care about the he-said, she-said
And here's to my baby
He ain't reading what they call me lately
And here's to my mama
Had to listen to all this drama
And here's to you
'Cause forgiveness is a nice thing to do
Haha, I can't even say it with a straight face

This is why we can't have nice things, darling (Darling)
Because you break them
I had to take them away
This is why we can't have nice (Uh-uh) things (Oh no), honey (Baby, oh)
Did you think I wouldn't hear all the things you said about me?
This is why we can't have nice things, darling
(And here's to my real friends)
Because you break them
I had to take them
(And here's to my baby)
Nice things, honey
(They didn't care about that he-said, she-said)
Did you think I wouldn't hear all the things you said about me?
This is why we can't have nice things",reputation,Taylor Swift,2017-11-10,207133,68,0.567,0.0156,0.789,0,0.382,-5.986,0.115,0.438,163.96
Call It What You Want,https://www.youtube.com/watch?v=V54CEElTF_U,"My castle crumbled overnight
I brought a knife to a gunfight
They took the crown but it's alright
All the liars are calling me one
Nobody's heard from me for months
I'm doing better than I ever was

'Cause
My baby's fit like a daydream
Walking with his head down
I'm the one he's walking to
So call it what you want, yeah
Call it what you want to
My baby's fly like a jet stream
High above the whole scene
Loves me like I'm brand new
So call it what you want, yeah
Call it what you want to

All my flowers grew back as thorns
Windows boarded up after the storm
He built a fire just to keep me warm
All the drama queens taking swings
All the jokers dressing up as kings
They fade to nothing when I look at him
And I know I make the same mistakes every time
Bridges burn, I never learn
At least I did one thing right
I did one thing right
I'm laughing with my lover
Making forts under covers
Trust him like a brother
Yeah, you know I did one thing right
Starry eyes sparking up my darkest night

My baby's fit like a daydream
Walking with his head down
I'm the one he's walking to
So call it what you want, yeah
Call it what you want to
My baby's fly like a jet stream
High above the whole scene
Loves me like I'm brand new
(Call it what you want, call it what you want, call it)
So call it what you want, yeah
Call it what you want to

I want to wear his initial on a chain 'round my neck
Chain 'round my neck
Not because he owns me
But 'cause he really knows me
Which is more than they can say, I
I recall late November, holding my breath
Slowly I said, ""You don't need to save me
But would you run away with me?""
Yes (would you run away?)

My baby's fit like a daydream
Walking with his head down
I'm the one he's walking to
(Call it what you want, call it what you want, call it)
So call it what you want, yeah
Call it what you want to
My baby's fly like a jet stream
High above the whole scene
Loves me like I'm brand new
(Call it what you want, call it what you want, call it)
So call it what you want, yeah
Call it what you want to

(Call it what you want, call it)
(Call it what you want, call it what you want, call it)
(Call it what you want, call it what you want, call it)
(Call it what you want, call it what you want, call it)
(Call it what you want, call it what you want, call it)
(Call it what you want, call it what you want, call it)
(Call it what you want, call it what you want, call it)
Call it what you want, yeah
Call it what you want
To",reputation,Taylor Swift,2017-11-10,203506,71,0.598,0.186,0.504,0.000221,0.34,-9.874,0.0731,0.252,163.954
New Year’s Day,https://www.youtube.com/watch?v=KkvTYrFIxNM,"There's glitter on the floor after the party
Girls carrying their shoes down in the lobby
Candle wax and Polaroids on the hardwood floor
You and me from the night before, but

Don't read the last page
But I stay when you're lost, and I'm scared
And you're turning away
I want your midnights
But I'll be cleaning up bottles with you on New Year's Day

You squeeze my hand three times in the back of the taxi
I can tell that it's gonna be a long road
I'll be there if you're the toast of the town, babe
Or if you strike out and you're crawling home

Don't read the last page
But I stay when it's hard, or it's wrong
Or we're making mistakes
I want your midnights
But I'll be cleaning up bottles with you on New Year's Day

Hold on to the memories, they will hold on to you
Hold on to the memories, they will hold on to you
Hold on to the memories, they will hold on to you
And I will hold on to you

Please don't ever become a stranger
Whose laugh I could recognize anywhere
Please don't ever become a stranger
Whose laugh I could recognize anywhere

There's glitter on the floor after the party
Girls carrying their shoes down in the lobby
Candle wax and Polaroids on the hardwood floor
You and me forevermore

Don't read the last page
But I stay when it's hard, or it's wrong
Or we're making mistakes
I want your midnights
But I'll be cleaning up bottles with you on New Year's Day

Hold on to the memories, they will hold on to you
Hold on to the memories, they will hold on to you
Hold on to the memories, they will hold on to you
And I will hold on to you

Please don't ever become a stranger
(To the memories, they will hold on to you)
Whose laugh I could recognize anywhere
(Hold on to the memories, they will hold on to you)
Please don't ever become a stranger
(Hold on to the memories, they will hold on to you)
Whose laugh I could recognize anywhere
(I will hold on to you)",reputation,Taylor Swift,2017-11-10,235466,67,0.661,0.921,0.151,0,0.13,-12.864,0.0354,0.23,94.922
I Forgot That You Existed,https://www.youtube.com/watch?v=p1cEvNn88jM,"How many days did I spend thinking
'Bout how you did me wrong, wrong, wrong?
Lived in the shade you were throwing
'Til all of my sunshine was gone, gone, gone
And I couldn't get away from ya
In my feelings more than Drake, so yeah
Your name on my lips, tongue-tied
Free rent, living in my mind

But then something happened one magical night

I forgot that you existed
And I thought that it would kill me, but it didn't
And it was so nice
So peaceful and quiet
I forgot that you existed
It isn't love, it isn't hate, it's just indifference
I forgot that you

Got out some popcorn
As soon as my rep started going down, down, down
Laughed on the school yard
As soon as I tripped up and hit the ground, ground, ground
And I would've stuck around for ya
Would've fought the whole town, so yeah
Would've been right there, front row
Even if nobody came to your show

But you showed who you are, then one magical night

I forgot that you existed
And I thought that it would kill me, but it didn't
And it was so nice
So peaceful and quiet
I forgot that you existed
It isn't love, it isn't hate, it's just indifference
I forgot that you

Sent me a clear message
Taught me some hard lessons
I just forget what they were
It's all just a blur

I forgot that you existed
And I thought that it would kill me, but it didn't
And it was so nice
So peaceful and quiet
I forgot that you existed
I did, I did, I did
It isn't hate, it's just indifference
It isn't love, it isn't hate, it's just indifference
So, yeah",Lover,Taylor Swift,2019-08-23,170640,72,0.664,0.298,0.316,2.03E-06,0.0812,-10.345,0.519,0.541,92.875
Cruel Summer,https://www.youtube.com/watch?v=ic8j13piAhQ,"Fever dream high in the quiet of the night
You know that I caught it
Bad, bad boy
Shiny toy with a price
You know that I bought it
Killing me slow, out the window
I'm always waiting for you to be waiting below
Devils roll the dice, angels roll their eyes
What doesn't kill me makes me want you more
And it's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, whoa, oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, whoa oh
It's a cruel summer
With you
Hang your head low
In the glow of the vending machine
I'm not dying
You say that we'll just screw it up in these trying times
We're not trying
So cut the headlights, summer's a knife
I'm always waiting for you just to cut to the bone
Devils roll the dice, angels roll their eyes
And if I bleed, you'll be the last to know
Oh, it's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, whoa, oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, whoa, oh
It's a cruel summer
With you
I'm drunk in the back of the car
And I cried like a baby coming home from the bar (oh)
Said, ""I'm fine, "" but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer just to seal my fate (oh)
And I screamed for whatever it's worth
""I love you, "" ain't that the worst thing you ever heard?
He looks up grinning like a devil
It's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, whoa, oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules, in breakable heaven
But ooh, whoa, oh
It's a cruel summer
With you
I'm drunk in the back of the car
And I cried like a baby coming home from the bar (h)
Said, ""I'm fine, "" but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer just to seal my fate (oh)
And I screamed for whatever it's worth
""I love you, "" ain't that the worst thing you ever heard?",Lover,Taylor Swift,2019-08-23,178426,77,0.552,0.117,0.702,2.06E-05,0.105,-5.707,0.157,0.564,169.994
Lover,https://www.youtube.com/watch?v=-BjZmE2gtdo,"We could leave the Christmas lights up 'til January
And this is our place, we make the rules
And there's a dazzling haze, a mysterious way about you dear
Have I known you 20 seconds or 20 years?
Can I go where you go?
Can we always be this close forever and ever?
And ah, take me out, and take me home
You're my, my, my, my
Lover
We could let our friends crash in the living room
This is our place, we make the call
And I'm highly suspicious that everyone who sees you wants you
I've loved you three summers now, honey, but I want 'em all
Can I go where you go?
Can we always be this close forever and ever?
And ah, take me out, and take me home (forever and ever)
You're my, my, my, my
Lover
Ladies and gentlemen, will you please stand?
With every guitar string scar on my hand
I take this magnetic force of a man to be my lover
My heart's been borrowed and yours has been blue
All's well that ends well to end up with you
Swear to be overdramatic and true to my lover
And you'll save all your dirtiest jokes for me
And at every table, I'll save you a seat, lover
Can I go where you go?
Can we always be this close forever and ever?
And ah, take me out, and take me home (forever and ever)
You're my, my, my, my
Oh, you're my, my, my, my
Darling, you're my, my, my, my
Lover",Lover,Taylor Swift,2019-08-23,221306,80,0.359,0.492,0.543,1.58E-05,0.118,-7.582,0.0919,0.453,68.534
The Man,https://www.youtube.com/watch?v=AqAJLh9wuZ0,"I would be complex
I would be cool
They'd say I played the ﬁeld before I found someone to commit to
And that would be ok
For me to do
Every conquest I had made would make me more of a boss to you
I'd be a fearless leader
I'd be an alpha type
When everyone believes ya
What's that like?
I'm so sick of running as fast as I can
Wondering if I'd get there quicker
If I was a man
And I'm so sick of them coming at me again
'Cause if I was a man
Then I'd be the man
I'd be the man
I'd be the man
They'd say I hustled
Put in the work
They wouldn't shake their heads and question how much of this I deserve
What I was wearing
If I was rude
Could all be separated from my good ideas and power moves?
And they would toast to me, oh
Let the players play
I'd be just like Leo
In Saint-Tropez
I'm so sick of running as fast as I can
Wondering if I'd get there quicker
If I was a man
And I'm so sick of them coming at me again
'Cause if I was a man
Then I'd be the man
I'd be the man
I'd be the man
What's it like to brag about
Raking in dollars
And getting bitches and models
And it's all good if you're bad
And it's okay if you're mad
If I was out ﬂashing my dollars
I'd be a bitch, not a baller
They paint me out to be bad
So it's okay that I'm mad
I'm so sick of running as fast as I can
Wondering if I'd get there quicker if I was a man (you know that)
And I'm so sick of them coming at me again (coming at me again)
'Cause if I was a man (if I was a man)
Then I'd be the man (then I'd be the man)
I'm so sick of running as fast as I can (as fast as I can)
Wondering if I'd get there quicker if I was a man (hey)
And I'm so sick of them coming at me again (coming at me again)
'Cause if I was a man (if I was a man), then I'd be the man
I'd be the man
I'd be the man (oh)
I'd be the man (yeah)
I'd be the man (I'd be the man)
If I was a man
Then I'd be the man",Lover,Taylor Swift,2019-08-23,190360,75,0.777,0.0767,0.658,0,0.0901,-5.191,0.054,0.633,110.048
The Archer,https://www.youtube.com/watch?v=8KpKc3C9V3w,"
Combat
I'm ready for combat
I say I don't want that
But what if I do?

'Cause cruelty
Wins in the movies
I've got a hundred thrown-out speeches
I almost said to you

Easy they come
Easy they go
I jump from the train
I ride off alone
I never grew up
It's getting so old
Help me hold on to you

I've been the archer
I've been the prey
Who could ever leave me darling...
But who could stay?

Dark side
I search for your dark side
But what if I'm alright
Right, right, right here?

And I cut off
My nose just to spite my face
Then I hate my reflection
For years and years

I wake in the night
I pace like a ghost
The room is on fire
Invisible smoke
And all of my heroes
Die all alone
Help me hold on to you

I've been the archer
I've been the prey
Screaming, ""Who could ever leave me darling...
But who could stay?""

(I see right through me, I see right through me)

'Cause they see right through me
They see right through me
They see right through
Can you see right through me?
They see right through
They see right through me
I see right through me
I see right through me

All the king's horses
All the king's men
Couldn't put me together again
'Cause all of my enemies
Started out friends
Help me hold on to you

I've been the archer
I've been the prey
Who could ever leave me darling...
But who could stay?

(I see right through me, I see right through me)

Who could stay?
Who could stay?
Who could stay?
You could stay
You could stay

Combat
I'm ready for combat",Lover,Taylor Swift,2019-08-23,211240,69,0.292,0.12,0.574,0.00569,0.0663,-9.375,0.0401,0.166,124.344
I Think He Knows,https://www.youtube.com/watch?v=2d1wKn-oJnA,"I think he knows
His footprints on the sidewalk
Lead to where I can't stop
Go there every night
I think he knows
His hands around a cold glass
Make me wanna know that
Body like it's mine

He got that boyish look that I like in a man
I am an architect, I'm drawing up the plans
It's like I'm 17, nobody understands
No one understands

He got my heartbeat
Skipping down 16th Avenue
Got that, oh, I mean
Wanna see what's under that attitude like
I want you, bless my soul
And I ain't gotta tell him, I think he knows
I think he knows

I think he knows
When we get all alone
I'll make myself at home
And he'll want me to stay
I think he knows
He better lock it down
Or I won't stick around
'Cause good ones never wait (Ha)

He got that boyish look that I like in a man
I am an architect, I'm drawing up the plans
He's so obsessed with me and, boy, I understand
Boy, I understand

He got my heartbeat (Heartbeat)
Skipping down 16th Avenue
Got that, oh, I mean (I mean)
Wanna see what's under that attitude like
I want you, bless my soul
And I ain't gotta tell him, I think he knows
I think he knows

I want you, bless my
I want you, bless my soul
I want you, bless my
I want you, bless my soul

Lyrical smile, indigo eyes, hand on my thigh
We can follow the sparks, I'll drive
Lyrical smile, indigo eyes, hand on my thigh
We can follow the sparks, I'll drive
""So where we gonna go?""
I whisper in the dark
""Where we gonna go?""
I think he knows

He got my heartbeat (Heartbeat)
Skipping down 16th Avenue (Baby)
Got that, oh, I mean (I mean)
Wanna see what's under that attitude like (Yeah)
I want you, bless my soul
And I ain't gotta tell him, I think he knows
I think he knows

I want you, bless my
I want you, bless my soul
I want you, bless my (Oh, baby)
I want you, bless my soul (He got my heartbeat)
I want you, bless my (Skipping down 16th Avenue, baby)
I want you, bless my soul
I want you, bless my soul
And I ain't gotta tell him, I think he knows",Lover,Taylor Swift,2019-08-23,173386,70,0.897,0.00889,0.366,0.000353,0.0715,-8.029,0.0569,0.416,100.003
Miss Americana & The Heartbreak Prince,https://www.youtube.com/watch?v=Kwf7P2GNAVw,"You know I adore you, I'm crazier for you
Than I was at sixteen, lost in a film scene
Waving homecoming queens, marching band playing
I'm lost in the lights
American glory faded before me
Now I'm feeling hopeless, ripped up my prom dress
Running through rose thorns, I saw the scoreboard
And ran for my life (Ah)

No cameras catch my pageant smile
I counted days, I counted miles
To see you there, to see you there
It's been a long time coming, but

It's you and me, that's my whole world
They whisper in the hallway, ""She's a bad, bad girl"" (Okay)
The whole school is rolling fake dice
You play stupid games, you win stupid prizes
It's you and me, there's nothing like this
Miss Americana and The Heartbreak Prince (Okay)
We're so sad, we paint the town blue
Voted most likely to run away with you

My team is losing, battered and bruising
I see the high fives between the bad guys
Leave with my head hung, you are the only one
Who seems to care
American stories burning before me
I'm feeling helpless, the damsels are depressed
Boys will be boys then, where are the wise men?
Darling, I'm scared (Ah)

No cameras catch my muffled cries
I counted days, I counted miles
To see you there, to see you there
And now the storm is coming, but

It's you and me, that's my whole world
They whisper in the hallway, ""She's a bad, bad girl"" (Okay)
The whole school is rolling fake dice
You play stupid games, you win stupid prizes
It's you and me, there's nothing like this
Miss Americana and The Heartbreak Prince (Okay)
We're so sad, we paint the town blue
Voted most likely to run away with you

And I don't want you to (Go), I don't really wanna (Fight)
'Cause nobody's gonna (Win), I think you should come home
And I don't want you to (Go), I don't really wanna (Fight)
'Cause nobody's gonna (Win), I think you should come home
And I don't want you to (Go), I don't really wanna (Fight)
'Cause nobody's gonna (Win), I just thought you should know
And I'll never let you (Go) 'cause I know this is a (Fight)
That someday we're gonna (Win)

It's you and me, that's my whole world
They whisper in the hallway, ""She's a bad, bad girl""
Oh, I just thought you should know (You should know)
It's you and me, there's nothing like this (Like this)
Miss Americana and The Heartbreak Prince (Okay)
We're so sad, we paint the town blue (Paint it blue)
Voted most likely to run away with you

And I don't want you to (Go), I don't really wanna (Fight)
'Cause nobody's gonna (Win), I think you should come home
And I'll never let you (Go) 'cause I know this is a (Fight)
That someday we're gonna (Win), I just thought you should know

It's you and me, that's my whole world
They whisper in the hallway, ""She's a bad, bad girl""
""She's a bad, bad girl""
",Lover,Taylor Swift,2019-08-23,234146,70,0.662,0.028,0.747,0.00615,0.138,-6.926,0.0736,0.487,150.088
Paper Rings,https://www.youtube.com/watch?v=8zdg-pDF10g,"The moon is high
Like your friends were the night that we first met
Went home and tried to stalk you on the internet
Now I've read all of the books beside your bed
The wine is cold
Like the shoulder that I gave you in the street
Cat and mouse for a month or two or three
Now I wake up in the night and watch you breathe

(Ayy)
Kiss me once 'cause you know I had a long night (Oh)
Kiss me twice 'cause it's gonna be alright (Uh)
Three times 'cause I waited my whole life (1, 2, 1, 2, 3, 4)

I like shiny things, but I'd marry you with paper rings
Uh huh, that's right
Darling, you're the one I want, and
I hate accidents except when we went from friends to this
Uh huh, that's right
Darling, you're the one I want
In paper rings in picture frames in dirty dreams
Oh, you're the one I want

In the winter, in the icy outdoor pool
When you jumped in first, I went in too
I'm with you even if it makes me blue
Which takes me back
To the color that we painted your brother's wall
Honey, without all the exes, fights, and flaws
We wouldn't be standing here so tall, so

(Ayy)
Kiss you once 'cause I know you had a long night (Oh)
Kiss you twice 'cause it's gonna be alright (Uh)
Three times 'cause you waited your whole life (1, 2, 1, 2, 3, 4)
Ah

I like shiny things, but I'd marry you with paper rings
Uh huh, that's right
Darling, you're the one I want, and
I hate accidents except when we went from friends to this
Uh huh, that's right
Darling, you're the one I want
In paper rings in picture frames in dirty dreams
Oh, you're the one I want

I want to drive away with you
I want your complications too
I want your dreary Mondays
Wrap your arms around me, baby boy
I want to drive away with you
I want your complications too
I want your dreary Mondays
Wrap your arms around me, baby boy
Uh huh

I like shiny things, but I'd marry you with paper rings
Uh huh, that's right, you're the one I want
I hate accidents except when we went from friends to this
Ah-ah, darling, you're the one I want
I like shiny things, but I'd marry you with paper rings
Uh huh, that's right
Darling, you're the one I want, and
I hate accidents except when we went from friends to this
Uh huh, that's right
Darling, you're the one I want
In paper rings in picture frames in all my dreams
You're the one I want
In paper rings in picture frames in all my dreams
Oh, you're the one I want

You're the one I want, one I want
You're the one I want, one I want",Lover,Taylor Swift,2019-08-23,222400,76,0.811,0.0129,0.719,1.36E-05,0.0742,-6.553,0.0497,0.865,103.979
Cornelia Street,https://www.youtube.com/watch?v=VikHHWrgb4Y,"We were in the backseat
Drunk on something stronger than the drinks in the bar
""I rent a place on Cornelia Street""
I say casually in the car
We were a fresh page on the desk
Filling in the blanks as we go
As if the street lights pointed in an arrow head
Leading us home

And I hope I never lose you, hope it never ends
I'd never walk Cornelia Street again
That's the kinda heartbreak time could never mend
I'd never walk Cornelia Street again
And baby, I get mystified by how this city screams your name
And baby, I'm so terrified of if you ever walk away
I'd never walk Cornelia Street again
I'd never walk Cornelia Street again

Windows flung right open, autumn air
Jacket 'round my shoulders is yours
We bless the rains on Cornelia Street
Memorize the creaks in the floor
Back when we were card sharks, playing games
I thought you were leading me on
I packed my bags, left Cornelia Street
Before you even knew I was gone

But then you called, showed your hand
I turned around before I hit the tunnel
Sat on the roof, you and I

I hope I never lose you, hope it never ends
I'd never walk Cornelia Street again
That's the kinda heartbreak time could never mend
I'd never walk Cornelia Street again
And baby, I get mystified by how this city screams your name
And baby, I'm so terrified of if you ever walk away
I'd never walk Cornelia Street again
I'd never walk Cornelia Street again

You hold my hand on the street
Walk me back to that apartment
Years ago, we were just inside
Barefoot in the kitchen
Sacred new beginnings
That became my religion, listen

I hope I never lose you
I'd never walk Cornelia Street again
Oh, never again
And baby, I get mystified by how this city screams your name
And baby, I'm so terrified of if you ever walk away
I'd never walk Cornelia Street again
I'd never walk Cornelia Street again

I don't wanna lose you (Hope it never ends)
I'd never walk Cornelia Street again
I don't wanna lose you (Yeah)

""I rent a place on Cornelia Street""
I say casually in the car",Lover,Taylor Swift,2019-08-23,287266,71,0.824,0.781,0.624,0.000189,0.1,-9.728,0.0827,0.248,102.012
Death By A Thousand Cuts,https://www.youtube.com/watch?v=GTEFSuFfgnU,"My, my, my, my
My, my, my, my
My, my, my, my
My, my, my, my
My, my, my, my
My, my, my, my
My, my, my, my
My, my, my, my

Saying goodbye is death by a thousand cuts
Flashbacks waking me up
I get drunk, but it's not enough
'Cause the morning comes and you're not my baby
I look through the windows of this love
Even though we boarded them up
Chandelier's still flickering here
'Cause I can't pretend it's okay when it's not
It's death by a thousand cuts

I dress to kill my time, I take the long way home
I ask the traffic lights if it'll be alright
They say, ""I don't know""
And what once was ours is no one's now
I see you everywhere, the only thing we share
Is this small town
You said it was a great love, one for the ages
But if the story's over, why am I still writing pages?

'Cause saying goodbye is death by a thousand cuts
Flashbacks waking me up
I get drunk, but it's not enough
'Cause the morning comes and you're not my baby
I look through the windows of this love
Even though we boarded them up
Chandelier's still flickering here
'Cause I can't pretend it's okay when it's not

It's death by a thousand cuts

My heart, my hips, my body, my love
Tryna find a part of me that you didn't touch
Gave up on me like I was a bad drug
Now I'm searching for signs in a haunted club
Our songs, our films, united we stand
Our country, guess it was a lawless land
Quiet my fears with the touch of your hand
Paper cut stings from our paper-thin plans
My time, my wine, my spirit, my trust
Tryna find a part of me you didn't take up
Gave you so much, but it wasn't enough
But I'll be alright, it's just a thousand cuts

I get drunk, but it's not enough
'Cause you're not my baby
I look through the windows of this love
Even though we boarded them up
Chandelier's still flickering here
'Cause I can't pretend it's okay when it's not
No, it's not
It's death by a thousand cuts (You didn't touch)

Tryna find a part of me that you didn't touch
My body, my love, my trust (It's death by a thousand cuts)
But it wasn't enough, it wasn't enough, no, no

I take the long way home
I ask the traffic lights if it'll be alright
They say, ""I don't know""",Lover,Taylor Swift,2019-08-23,198533,71,0.712,0.454,0.732,0,0.319,-6.754,0.0629,0.313,94.071
London Boy,https://www.youtube.com/watch?v=VsKoOH6DVys,"[Idris Elba and James Corden:]
We can go driving in, on my scooter
Uh, you know, just 'round London
Alright, yeah

I love my hometown as much as Motown, I love SoCal
And you know I love Springsteen, faded blue jeans, Tennessee whiskey
But something happened, I heard him laughing
I saw the dimples first and then I heard the accent
They say home is where the heart is
But that's not where mine lives

You know I love a London boy
I enjoy walking Camden Market in the afternoon
He likes my American smile, like a child when our eyes meet
Darling, I fancy you
Took me back to Highgate, met all of his best mates
So I guess all the rumors are true
You know I love a London boy
Boy, I fancy you (Ooh)

And now I love high tea, stories from Uni, and the West End
You can find me in the pub, we are watching rugby with his school friends
Show me a gray sky, a rainy cab ride
Babes, don't threaten me with a good time
They say home is where the heart is
But God, I love the English

You know I love a London boy, I enjoy nights in Brixton
Shoreditch in the afternoon
He likes my American smile, like a child when our eyes meet
Darling, I fancy you
Took me back to Highgate, met all of his best mates
So I guess all the rumors are true
You know I love a London boy
Boy, I fancy you

So please show me Hackney
Doesn't have to be Louis V up on Bond Street
Just wanna be with you
Wanna be with you
Stick with me, I'm your queen
Like a Tennessee Stella McCartney, on the Heath
Just wanna be with you (Wanna be with you)
Wanna be with you (Oh)

You know I love a London boy, I enjoy walking SoHo
Drinking in the afternoon (Yeah)
He likes my American smile, like a child when our eyes meet
Darling, I fancy you (You)
Took me back to Highgate, met all of his best mates
So I guess all the rumors are true (Yeah)
You know I love a London boy (Oh)
Boy (Oh), I fancy you (I fancy you, ooh)

So please show me Hackney
Doesn't have to be Louis V up on Bond Street
Just wanna be with you
I, I, I fancy you
Oh whoa, oh, I
Stick with me, I'm your queen
Like a Tennessee Stella McCartney, on the Heath
Just wanna be with you (Ooh)
Wanna be with you
I fancy you (Yeah), I fancy you
Oh whoa, ah",Lover,Taylor Swift,2019-08-23,190240,72,0.695,0.0246,0.71,0.000104,0.133,-6.639,0.05,0.557,157.925
Soon You’ll Get Better (feat. The Chicks),https://www.youtube.com/watch?v=tMoW5G5LU08,"The buttons of my coat were tangled in my hair
In doctor's office lighting, I didn't tell you I was scared
That was the first time we were there
Holy orange bottles, each night, I pray to you
Desperate people find faith, so now I pray to Jesus too
And I say to you

Ooh-ah
Soon, you'll get better
Ooh-ah
Soon, you'll get better
Ooh-ah
You'll get better soon
'Cause you have to

I know delusion when I see it in the mirror
You like the nicer nurses, you make the best of a bad deal
I just pretend it isn't real
I'll paint the kitchen neon, I'll brighten up the sky
I know I'll never get it, there's not a day that I won't try
And I say to you

Ooh-ah
Soon, you'll get better
Ooh-ah
Soon, you'll get better
Ooh-ah
You'll get better soon
'Cause you have to

And I hate to make this all about me
But who am I supposed to talk to?
What am I supposed to do
If there's no you?

This won't go back to normal, if it ever was
It's been years of hoping, and I keep saying it because
'Cause I have to

Ooh-ah
You'll get better
Ooh-ah
Soon, you'll get better
Ooh-ah
You'll get better soon
Ooh-ah
Soon, you'll get better
Ooh-ah
Soon, you'll get better
Ooh-ah
You'll get better soon
'Cause you have to
",Lover,Taylor Swift,2019-08-23,201586,65,0.433,0.907,0.182,0,0.123,-12.566,0.0641,0.421,207.476
False God,https://www.youtube.com/watch?v=acQXa5ArHIk,"We were crazy to think
Crazy to think that this could work
Remember how I said I'd die for you?
We were stupid to jump
In the ocean separating us
Remember how I'd fly to you?

And I can't talk to you when you're like this
Staring out the window like I'm not your favorite town
I'm New York City, I still do it for you, babe
They all warned us about times like this
They say the road gets hard and you get lost
When you're led by blind faith, blind faith

But we might just get away with it
Religion's in your lips
Even if it's a false god
We'd still worship
We might just get away with it
The altar is my hips
Even if it's a false god
We'd still worship this love
We'd still worship this love
We'd still worship this love

I know heaven's a thing
I go there when you touch me, honey
Hell is when I fight with you
But we can patch it up good
Make confessions and we're begging for forgiveness
Got the wine for you

And you can't talk to me when I'm like this
Daring you to leave me just so I can try and scare you
You're the West Village
You still do it for me, babe
They all warned us about times like this
They say the road gets hard and you get lost
When you're led by blind faith, blind faith

But we might just get away with it
Religion's in your lips
Even if it's a false god
We'd still worship
We might just get away with it
The altar is my hips
Even if it's a false god
We'd still worship this love
We'd still worship this love
We'd still worship this love, ah

Still worship this love
Even if it's a false god
Even if it's a false god
Still worship this love",Lover,Taylor Swift,2019-08-23,200306,68,0.739,0.736,0.32,0.000147,0.111,-10.862,0.239,0.351,79.97
You Need To Calm Down,https://www.youtube.com/watch?v=Dkk9gvTmCXY,"You are somebody that I don't know
But you're taking shots at me like it's Patrón
And I'm just like, ""Damn!
It's 7 AM""

Say it in the street, that's a knock-out
But you say it in a tweet, that's a cop-out
And I'm just like, ""Hey!
Are you OK?""

And I ain't tryna mess with your self-expression
But I've learned the lesson
That stressing and obsessing
'Bout somebody else is no fun
And snakes and stones never broke my bones

So, oh-oh, oh-oh, oh-oh, oh-oh, oh-oh!
You need to calm down
You're being too loud
And I'm just like
""Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh!
You need to just stop
Like, can you just not step on my gown?
You need to calm down""

You are somebody that we don't know
But you're coming at my friends like a missile
Why are you mad
When you could be GLAAD?
(You could be GLAAD)

Sunshine on the street at the parade
But you would rather be in the dark ages
Just making that sign
Must've taken all night

You just need to take several seats
And then try to restore the peace
And control your urges to scream
About all the people you hate
'Cause shade never made anybody less gay

So, oh-oh, oh-oh, oh-oh, oh-oh, oh-oh!
You need to calm down
You're being too loud
And I'm just like
""Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh!
You need to just stop
Like, can you just not step on his gown
You need to calm down""

And we see you over there on the Internet
Comparing all the girls who are killing it
But we figured you out
We all know now
We all got crowns
You need to calm down

Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh!
You need to calm down
(You need to calm down)
You're being too loud
(You're being too loud)
And I'm just like
""Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh!
You need to just stop
(Can you stop?)
Like, can you just not step on our gowns
You need to calm down""",Lover,Taylor Swift,2019-08-23,171360,78,0.771,0.00929,0.671,0,0.0637,-5.617,0.0553,0.714,85.026
